"","x"
"1",1
"2",3
"3",5
"4",7
"5",8
"6",15
"7",16
"8",17
"9",19
"10",20
"11",22
"12",27
"13",29
"14",34
"15",35
"16",36
"17",40
"18",46
"19",50
"20",54
"21",61
"22",63
"23",67
"24",75
"25",77
"26",78
"27",79
"28",85
"29",89
"30",96
"31",97
"32",99
"33",100
"34",102
"35",104
"36",105
"37",107
"38",113
"39",115
"40",117
"41",122
"42",123
"43",130
"44",135
"45",137
"46",138
"47",139
"48",140
"49",143
"50",145
"51",148
"52",152
"53",153
"54",161
"55",173
"56",175
"57",177
"58",178
"59",180
"60",183
"61",186
"62",187
"63",191
"64",192
"65",195
"66",196
"67",197
"68",198
"69",205
"70",206
"71",208
"72",211
"73",214
"74",217
"75",219
"76",220
"77",221
"78",225
"79",227
"80",229
"81",230
"82",231
"83",237
"84",243
"85",246
"86",247
"87",252
"88",253
"89",254
"90",263
"91",266
"92",268
"93",273
"94",274
"95",278
"96",279
"97",282
"98",288
"99",293
"100",295
"101",300
"102",302
"103",304
"104",305
"105",313
"106",316
"107",319
"108",322
"109",327
"110",328
"111",331
"112",335
"113",336
"114",339
"115",341
"116",343
"117",345
"118",346
"119",347
"120",353
"121",356
"122",360
"123",363
"124",365
"125",367
"126",368
"127",369
"128",371
"129",373
"130",374
"131",376
"132",378
"133",379
"134",385
"135",387
"136",391
"137",392
"138",395
"139",397
"140",398
"141",406
"142",408
"143",409
"144",413
"145",416
"146",417
"147",418
"148",422
"149",423
"150",427
"151",429
"152",430
"153",431
"154",436
"155",442
"156",443
"157",444
"158",446
"159",449
"160",451
"161",457
"162",460
"163",462
"164",463
"165",465
"166",468
"167",470
"168",472
"169",479
"170",480
"171",481
"172",482
"173",484
"174",487
"175",493
"176",494
"177",497
"178",498
"179",499
"180",500
"181",502
"182",503
"183",508
"184",514
"185",515
"186",517
"187",518
"188",522
"189",523
"190",524
"191",528
"192",531
"193",536
"194",538
"195",540
"196",547
"197",552
"198",553
"199",564
"200",567
"201",570
"202",572
"203",581
"204",583
"205",588
"206",589
"207",595
"208",596
"209",598
"210",599
"211",600
"212",601
"213",610
"214",611
"215",616
"216",617
"217",624
"218",625
"219",627
"220",631
"221",635
"222",636
"223",641
"224",642
"225",649
"226",656
"227",667
"228",669
"229",674
"230",678
"231",680
"232",682
"233",683
"234",685
"235",686
"236",688
"237",690
"238",696
"239",702
"240",703
"241",705
"242",709
"243",715
"244",720
"245",726
"246",728
"247",729
"248",733
"249",736
"250",744
"251",748
"252",754
