"","x"
"1",360
"2",389
"3",496
"4",77
"5",401
"6",244
"7",128
"8",574
"9",384
"10",90
"11",540
"12",310
"13",371
"14",426
"15",143
"16",53
"17",23
"18",218
"19",293
"20",375
"21",211
"22",31
"23",184
"24",224
"25",633
"26",292
"27",295
"28",363
"29",263
"30",236
"31",133
"32",361
"33",16
"34",370
"35",582
"36",720
"37",322
"38",372
"39",542
"40",294
"41",37
"42",278
"43",305
"44",380
"45",76
"46",655
"47",376
"48",729
"49",369
"50",378
"51",287
"52",677
"53",387
"54",284
"55",367
"56",298
"57",141
"58",561
"59",299
"60",265
"61",279
"62",635
"63",93
"64",460
"65",204
"66",272
"67",101
"68",251
"69",157
"70",694
"71",541
"72",81
"73",58
"74",572
"75",695
"76",232
"77",681
"78",124
"79",746
"80",337
"81",243
"82",270
"83",543
"84",551
"85",753
"86",62
"87",443
"88",523
"89",115
"90",670
"91",228
"92",447
"93",342
"94",219
"95",672
"96",146
"97",296
"98",249
"99",421
"100",347
"101",44
"102",126
"103",404
"104",666
"105",106
"106",239
"107",83
"108",35
"109",340
"110",205
"111",145
"112",411
"113",140
"114",196
"115",289
"116",61
"117",11
"118",46
"119",646
"120",575
"121",558
"122",636
"123",113
"124",85
"125",112
"126",719
"127",416
"128",393
"129",547
"130",516
"131",188
"132",590
"133",616
"134",699
"135",286
"136",524
"137",511
"138",667
"139",724
"140",75
"141",169
"142",467
"143",701
"144",691
"145",503
"146",519
"147",465
"148",689
"149",214
"150",630
"151",66
"152",525
"153",153
"154",167
"155",632
"156",727
"157",130
"158",242
"159",386
"160",740
"161",626
"162",488
"163",742
"164",22
"165",290
"166",409
"167",532
"168",548
"169",320
"170",84
"171",245
"172",144
"173",151
"174",52
"175",82
"176",227
"177",233
"178",39
"179",533
"180",203
"181",48
"182",559
"183",480
"184",564
"185",237
"186",261
"187",594
"188",155
"189",197
"190",607
"191",578
"192",201
"193",453
"194",665
"195",673
"196",136
"197",419
"198",266
"199",448
"200",444
"201",330
"202",275
"203",319
"204",127
"205",396
"206",601
"207",79
"208",621
"209",657
"210",647
"211",478
"212",200
"213",132
"214",135
"215",173
"216",556
"217",202
"218",327
"219",595
"220",731
"221",424
"222",207
"223",134
"224",94
"225",139
"226",737
"227",423
"228",414
"229",225
"230",213
"231",440
"232",570
"233",605
"234",550
"235",456
"236",262
"237",309
"238",721
"239",217
"240",676
"241",685
"242",324
"243",56
"244",47
"245",70
"246",87
"247",328
"248",95
"249",250
"250",14
"251",722
"252",732
"253",728
"254",569
"255",642
"256",526
"257",121
"258",152
"259",706
"260",98
"261",353
"262",110
"263",57
"264",120
"265",477
"266",355
"267",65
"268",392
"269",436
"270",276
"271",38
"272",264
"273",644
"274",86
"275",620
"276",129
"277",686
"278",352
"279",104
"280",114
"281",750
"282",60
"283",20
"284",591
"285",274
"286",96
"287",627
"288",199
"289",92
"290",505
"291",481
"292",343
"293",391
"294",235
"295",612
"296",623
"297",588
"298",534
"299",231
"300",175
"301",317
"302",29
"303",156
"304",91
"305",54
"306",493
"307",69
"308",445
"309",573
"310",377
"311",359
"312",281
"313",34
"314",710
"315",473
"316",619
"317",4
"318",700
"319",705
"320",108
"321",593
"322",168
"323",624
"324",78
"325",649
"326",625
"327",717
"328",395
"329",3
"330",13
"331",192
"332",471
"333",507
"334",178
"335",116
"336",80
"337",490
"338",432
"339",482
"340",331
"341",158
"342",99
"343",180
"344",187
"345",182
"346",522
"347",212
"348",513
"349",257
"350",711
"351",618
"352",64
"353",51
"354",67
"355",521
"356",402
"357",736
"358",639
"359",55
"360",495
"361",6
"362",170
"363",1
"364",464
"365",111
"366",634
"367",119
"368",413
"369",2
"370",107
"371",461
"372",684
"373",754
"374",530
"375",468
"376",255
"377",674
"378",181
"379",628
"380",344
"381",300
"382",435
"383",17
"384",641
"385",537
"386",713
"387",690
"388",254
"389",589
"390",336
"391",549
"392",638
"393",193
"394",223
"395",7
"396",40
"397",539
"398",668
"399",741
"400",708
"401",450
"402",334
"403",704
"404",479
"405",316
"406",206
"407",323
"408",567
"409",415
"410",185
"411",350
"412",442
"413",494
"414",563
"415",399
"416",335
"417",222
"418",410
"419",508
"420",552
"421",693
"422",191
"423",210
"424",41
"425",743
"426",650
"427",454
"428",654
"429",716
"430",24
"431",749
"432",580
"433",248
"434",43
"435",483
"436",671
"437",501
"438",50
"439",751
"440",498
"441",318
"442",656
"443",333
"444",430
"445",581
"446",688
"447",398
"448",715
"449",30
"450",349
"451",358
"452",147
"453",599
"454",269
"455",723
"456",592
"457",26
"458",357
"459",268
"460",528
"461",425
"462",171
"463",687
"464",302
"465",631
"466",256
"467",640
"468",476
"469",174
"470",315
"471",608
"472",102
"473",735
"474",738
"475",177
"476",602
"477",125
"478",718
"479",458
"480",553
"481",653
"482",702
"483",397
"484",739
"485",637
"486",183
"487",226
"488",339
"489",662
"490",679
"491",282
"492",451
"493",417
"494",117
"495",122
"496",160
"497",238
"498",535
"499",385
"500",149
"501",406
"502",148
"503",301
